"Title","Url Title","Entry Date","Subhead","Posted By","Body","Categories"
"Rebecca Jones and Greg Proulx Become Partners at Bridge","rebecca-jones-and-greg-proulx-become-partners-at-bridge","January 30, 2015","","","
Bridge Partners is thrilled to announce the addition of two new Partners, Rebecca Jones and Greg Proulx. The two veteran Directors were promoted into their new roles as Partners on January 1st. 

CEO and Managing Partner, Richard Albrecht said, “Greg and Rebecca have made consistently positive contributions to the firm by delighting clients, generating business, and developing high-performance teams. Their commitment to our mission is unparalleled.”

Prior to joining Bridge Partners, Jones led marketing teams on the agency and company side. She has deep industry expertise in mobile and technology, and has leveraged that experience while helping build the marketing practice at Bridge Partners. “I’m excited to continue the work I’ve started here and take the next step as we continue to grow and evolve,” she said. 

Proulx echoed her enthusiasm, “This is a fantastic time to be at Bridge, and I’m grateful for the opportunity to be part of this team.” Proulx held various sales and management roles at Oracle and Microsoft before joining the firm. He has been instrumental in developing innovative sales and channel programs at Bridge Partners. 

Jones and Proulx join the firm’s Partner team of Richard Albrecht, Todd Vold, and Chase Morgan.

 

 

About Bridge Partners:

Bridge Partners is a nationally recognized consulting firm that builds and executes programs in Marketing, Sales & Channel, and Operations & Technology. The firm has delivered results for companies across a wide range of industries from Fortune 50 to start-up. The company has been recognized for the quality of its work, the satisfaction of its employees, and has been named to the Inc. 5000 list of fastest growing businesses in America each of the last three years. Founded in 2006, Bridge Partners has offices in Seattle, San Francisco, Chicago, and Austin.  ","
  News
"
"Crafting the Right Content for Technology Buyers","crafting-the-right-content-for-technology-buyers","January 28, 2015","","Cindy Lavoie","

We help a lot of our B2B technology clients with go-to-market campaigns that typically start with an audience-focused message, a set of content deliverables to communicate that message, and a plan for measuring the effectiveness and ROI of the content. Unlike old-school push-marketing methods, content-driven marketing employs a more holistic approach by connecting buyer behavior, marketing messages, and actual sales results into a productive feedback loop.   

Most tech companies are joining the digital content marketing bandwagon in one form or another. And as tech companies get more skilled in this marketing approach, more nuanced insights and opportunities are starting to emerge.  We have a few insights of our own to share.
 

PLAN IN NEW DIMENSIONS

It’s always a good idea to start your marketing efforts with a plan. But content marketing requires new levels of planning. It’s still essential to define your target audience, know what challenges and issues they face, research how they’re influenced, and understand what value proposition will resonate for them. But that’s no longer enough.  

Today, customers are doing their own research online, before they even contact a vendor, and you’ll want to make sure your content is there when they go looking. This means:


	Developing the buyer’s journey as a key dimension of your marketing plan and creating appropriate content for every stage of that journey.  
	Adding search terms as another qualifier of your target market, since online searches are typically the first step in the B2B buying process.  
	Creating an editorial calendar, so you can manage the distribution of your content and gain exposure where it’ll have the greatest impact.  
	Planning your analytics upfront, so you’re able to track and measure in real-time and know what content and placements give you the biggest bang for your buck.


CATER TO THE STAGES OF YOUR BUYER’S JOURNEY

Content marketing requires a lot of content, but it doesn’t mean beating the same drum over and over again. It means paying closer attention to your buyer’s state of mind and making sure your content—and tone—addresses the appropriate concerns at each stage. While some companies identify as many as five stages in the buyer’s journey, we typically recommend a minimum of these three for a successful B2B content campaign:

Stage 1: Awareness. The buyer becomes aware of your brand or product and makes a connection to their own experiences, needs, or challenges. The best content for this stage is aspirational in tone, offers a promise or allays a fear, and establishes an emotional connection to your brand. This is a key starting point for establishing thought leadership.  Typical tactics for generating awareness are blogs, paid advertising, social media, contributed articles, and events.

Stage 2: Engagement. Once you’ve achieved awareness, the next stage is to engage the buyer’s interest. Content aimed at this stage needs to establish a clear and relevant value proposition, with a tone that is practical and engaging. This is where your marketing efforts can effectively make a case for your product. Tactics include case studies, email campaigns, webinars, white papers, and other educational materials.  

Stage 3: Purchase. Once the buyer has had practical or educational engagement with your offer, the next stage is to support final purchase considerations. This is typically where competition, price, peer recommendations, and implementation planning come into play. Marketing becomes more hard-hitting and informative in tone. Tactics can include sales presentations, TCO calculators, product roadmaps, and planning guides.
 



DESIGN FOR FORWARD MOMENTUM  

All content should ideally include some form of a call to action, designed to move the buyer forward through the stages of the journey and, ultimately, point them to a purchase location or contact. The website landing page can act as the content hub, with all content links mapped to the buyer’s underlying journey roadmap.
 

CONNECT SALES AND MARKETING WITH ANALYTICS

The ultimate goal of marketing is to increase sales of your products. This reality can sometimes get lost, but content marketing analytics allows you to bring it front and center. Marketers can get great value from the new marketing automation tools, since they offer exciting opportunities to track budget dollars all the way through to a closed sale.  

Technology companies often have a more complex link between marketing and sales – including direct sales staff, channel partners, events, and other elements that today’s automation software doesn’t easily account for. But don’t let this deter you from collecting metrics. We’ve worked on many campaigns that required manual accounting for sales leads, event attendees, and other trackable metrics. Even with cumbersome work-arounds and manual data collection, it’s still worth planning for analytics in every content campaign. Even when your metrics are not perfect, they’ll teach you a lot about how to improve for your next campaign. 

When done well, content-based digital marketing creates a process with data-driven feedback at every stage of the buyer’s journey and valuable insights to help you optimize your marketing and sales efforts.

 

 

Sources
1- iMedia Connection; 2- CEB; 3- SiriusDecisions; 4- HubSpot; 5- Marsden & Associates; 6- HubSpot","
  Marketing & Digital
"
"Look Before You Leap: Planning for Social Media Success","look-before-you-leap-planning-for-social-media-success","January 15, 2015","","Susan DoddsHeather Roscoe-Andersen","

It’s easy to understand why brands have jumped into social media. Low cost. Low barriers to entry. High visibility. While social media may sound simple, it’s important to remember that managing social media for a brand is very different than posting selfies and cat memes on your personal Facebook page. Brand marketing has broader considerations and implications. Without a savvy strategy, your efforts won’t result in a credible social media presence for your brand. 

Define your objectives 

Before you start creating social accounts, take the time to think about how your social media goals align with your business goals. You might ask: 


	What do you want to accomplish for your business?  
	Are you trying to gain more newsletter subscribers or registrations for your service? 
	Do you need to educate users about your software product or encourage them to walk into your retail store? 


A clear definition of your end goals will help direct your social media activities and keep you focused on what’s important.

Choose your channels 

Every objective requires that you carefully consider which social channels you choose. Not all channels are created equal, nor are the audiences who frequent them. While there may be some overlap, the intent and value derived from each is quite different. For example, LinkedIn is great for professionals seeking career, networking, professional development, or industry information. Twitter is an informative and entertaining source for current updates, while Pinterest is highly visual and inspiring, appealing mostly to female audiences (currently).

It’s critical to match your channels to your audience and to consider the value and message you are going to provide. It’s more effective to have a strong presence in a few, targeted channels than it is to spread your efforts across every possible social channel. Ultimately, it can be detrimental to your brand to create useless social pages that soon become abandoned. 

Craft your content

Social audiences are ravenous for good content, be it written, video, audio, or visual. Develop a solid strategy for providing valuable, thought-provoking material that will keep your followers coming back for more. Always consider: 


	Content type 
	Tone and voice
	Audience
	Frequency
	Timing 


Again, think about your goals and what you are trying to achieve. Are you trying to increase your audience size, engagement, product usage, or sales? If you’re tweeting three times a day and still not seeing results, then it’s time to evaluate how meaningful your content really is. 

Remember that social media engagement is a two-way conversation. Developing an authentic voice, while aligning the tone of your content to your company’s personality is important. You also want to carefully balance your message by providing calls to action without pestering your followers with a constant sales pitch. Positioning your content around the customer benefit and what helps satisfy their needs is usually the most successful approach. Pairing your content with an engagement strategy is also important to consider. For example, it’s important to consistently monitor the activity in your channels and interact with the community via replies, likes, comments, or @mentions, which can extend your reach and spur action.

Assemble your team

Finally, it’s important to be realistic about the amount of time and resources required to manage and run a social media presence for your organization. Even the best laid plans will fall short without the right resources in place to execute against the strategy and to ensure a healthy level of activity among your channels and communities. 
Your “team” can include one, many, or even part-time individuals, depending on the size of your organization or budget. The key is to clearly define roles, responsibilities, and expectations for each team member. 

For example, a great way to source rich content and product expertise is to establish a cross-functional team with representatives from across the company. Staying in regular contact with your PR and legal contacts will protect you from inadvertently making costly and embarrassing public mistakes in your social channels. Knowing what your product and design teams are working on can help you craft interesting messages and stories that your followers find valuable.

Putting it all together

Whether you’re getting ready to jump into social media for the first time or reevaluating your current strategy, take the time to consider these points: 


	Have a plan that answers these questions: What do you want to accomplish? Who is your audience? Which social channels will work for you?  
	Don’t underestimate the power of content. The web is inundated with noise and finding a way to stand out can be tough. Providing bite-sized pieces that speak to the customer value will resonate so much more than a sales pitch. 
	Identify dedicated resources. Make time, define roles, and get help from the broader team. You may work with colleagues from sales, engineering, PR, and more. So, remember that these folks are also creating customer value within their functional areas and be sure to take advantage of their expertise. 


Your brand has a lot to gain in the world of social media. When you have clear goals and deliver compelling content via the appropriate social channels, you can engage with your customers in a meaningful way. There will be challenges along the way, but if you start with a cohesive plan, you should make the leap with confidence. ","
  Marketing & Digital
"
"Cutting Through the Clutter: Visual Content Marketing","cutting-through-the-clutter-visual-content-marketing","December 18, 2014","","Tim Gunderson","The strongest B2B brands build personal connections with their audiences. This is one reason why so many companies are jumping on the content marketing bandwagon. Unfortunately, as that bandwagon nears capacity, it becomes increasingly difficult for content marketers to cut through the clutter. 

One of the most effective ways to stand out is to create bite-sized pieces of visual content that grab attention and support the brand. People love pictures. We’re going to take about one billion photos this year alone. Combine our love of snapping selfies with the fact that 65% of us are visual learners, and it’s clear why visual content is so valuable. 

Here are eight examples of B2B tech giants that leverage visual content marketing to position their brand and engage their social followers.    

Growth

Lenovo uses a familiar and tasty metaphor to communicate the strategic value of its latest acquisition. 

Community

Google takes the opportunity to showcase the quirky side of its campus community on Halloween.



Humor

HP finds a lighthearted way to connect with its audience by using a timeless story and a trending topic. 

Trust

Cisco’s timely, clever nod to Father’s Day playfully connects trusted leadership and technology innovation.



Education

Intel uses #sciencesnap and #didyouknow to drive interest in science for the next generation of technologists.

Innovation

IBM spiced up its marketing and showcased innovation by releasing Watson’s first BBQ recipe.



Purpose

Qualcomm combined content marketing and cause marketing to raise awareness for a global issue. 

Creativity

Adobe crafted a simple, on-brand way to drive engagement with its longstanding #CreateNow campaign. 



Has any visual content marketing caught your eye lately? Send us your favorite example on Twitter. ","
  Marketing & Digital
"
"Filling in the Blanks: Brainstorming With Yourself","filling-in-the-blanks-brainstorming-with-yourself","December 09, 2014","","Barbara Spear","

Nearly every writer I know has the same challenge: how to get started. It’s funny--whenever I’m faced with a first draft to write--how many ordinarily low-priority tasks suddenly need immediate attention. I’ve been known to polish the sink or clean my keyboard with a tiny brush instead of beginning to write. Especially in the face of a looming deadline.

So, how can you move past the virtual or real blank page and move forward with a project?

First: turn off your internal editor. Just write. Don’t interrupt your flow, especially as you’re just getting underway, by judging your results. Wait until you’ve completed a draft before you start editing.

Here are a few pragmatic techniques that may help you get your brain in creative gear.

Embrace the blankness. Grab a big piece of paper or a whiteboard. Start writing down everything that occurs to you, whether it’s related to the topic or not. Don’t worry about the order of what you write or where you put it on the page, even whether it’s upside down or written along the edge of the paper or board. Keep filling in the spaces until you’ve filled up the space and/or written down everything you can. At that point, read through your writing and use a different color pen to identify the most important points and their relationship with each other.

Seize the blank page (online version). Open a new document. Just start writing, whether it has anything to do with the topic or not. Copy and paste everything you have on the subject, wherever it may come from and in whatever order. To avoid copying other writers’ work, use a different color type for any content that you cannot use as written. When you’ve finished, read through the document and reorder it to tell the story. Use that version to create a working outline.  

And, if you’re still stuck, exercise your mind. Give yourself a short break for active, purposeful procrastination when you can focus on thinking about anything but the project. Get away from your workspace and do something different to change your mental channel. Take your dog, or just yourself for a walk. Make yourself a cup of coffee or tea. Solve a puzzle. When the break is up, zero in on your assignment.

One more technique: shift the subject. Work on something else and give that your full attention for at least ½ hour. Then, try again with the empty space technique above.

Most importantly: give yourself permission to rewrite. Don’t try to make your first draft perfect, but instead count on your revisions and additions to your first version. Be respectful to your goal: edit your work thoughtfully and don’t be afraid to throw out your first paragraph and begin with your second.","
  Marketing & Digital
"
"The PMO: Tax or Benefit?","the-pmo-tax-or-benefit","November 20, 2014","","Tim Tow","Many enterprises have established Program and Project Management Offices (PMOs) to provide oversight and accountability for projects, yet struggle to justify their value. Despite its prevalence, there are still many misperceptions about the role of today’s PMO. Unfortunately, project owners often perceive its oversight and accountability as a tax on their project. Project owners view their cooperation as a duty, not recognizing PMO involvement might be a benefit. So, to avoid being penalized, they adhere to the letter of guidelines set forth by the PMO with the same pained resignation with which they do their taxes. For those who understand the potential of an effective PMO, this attitude is frustrating. These project owners are missing an opportunity: a truly effective, strategic PMO isn't just overhead. It plays a crucial role in streamlining and orchestrating efficient projects. 

The Project Owner’s Viewpoint



A common refrain from project owners to the PMO is, “I'm driving real change here and all you do is tell me to tell you what I'm doing!”  This complaint is understandable. Most people don’t enjoy getting audited by the IRS, and that’s exactly how PMO requirements can feel to project owners. This perception arises because most corporate PMOs cover a broad spectrum of projects and efforts. That means they lack time or bandwidth to fully understand each project in context. Since they need to provide consistency in reporting, many PMOs rely on cookie-cutter project plans and regimented status updates. Some structure is essential, but force fitting everyone into one monolithic standard can be counterproductive.

Building a New Reputation

To change its negative reputation, the style and orientation of the PMO must change from dictating policies and structure to facilitating change. Facilitation involves being able to navigate among competing projects. To do this effectively, the PMO needs to understand the context for each project. Understanding the context helps the PMO align priorities and make sense of competing requirements.  A close sibling to facilitation is collaboration. A collaborative PMO is one that integrates with projects and seeks to offer opportunities to its project owners rather than merely demanding project statuses. 

Adding Value Through Service 

A PMO can provide oversight and accountability while also adding value for project owners. The strategic PMO will be a boon to its organization by ensuring project delivery is orchestrated collaboratively. The PMO should present opportunities to project owners, rather than just consolidating statuses and project plans. The consolidation of multiple project statuses for senior leadership, while important, should only be the means to an end. The PMO that adds real value is one that provides project owners with opportunities to get senior leadership or external stakeholder feedback and buy-in. These are contributions that will resonate with project owners.

To ensure it is adding value to the projects it is managing, a strategic PMO should focus on consistently providing these three services: executive visibility, dependency management, and issue escalation.

Executive Visibility – Set regular executive check-ins and structure these check-ins as working sessions for senior staff to weigh in on cross-project issues. 

Dependency Management – Identify dependencies across supporting functions (e.g. finance, legal, human resources) and between projects. Plan for those dependencies and understand the implications for all projects.

Issue Escalation – Track issues formally and visibly to ensure prompt resolution.

Do these well, and project owners will understand how the PMO can help them be successful.



Want to read more on how to run a successful PMO? Check out these resources: 

Seven Keys to Establishing a Successful PMO, CIO Magazine
The Secrets to Successful Strategy Execution, Harvard Business Review 
Value of Project Management, Project Management Institute","
  Operations & Technology
"
"Framing a Conversation","framing-a-conversation","November 06, 2014","","Rebecca Jones","Selling a complex solution doesn’t require equally complex story telling. This is especially true when you’re hoping to advance a customer conversation one step closer to considering your solution, and ideally, moving from an evaluating to a purchasing state of mind.  

It’s not an easy task to frame up a conversation well and get to the strongest, simplest points. I’m reminded of how challenging it is when I assess how many times it took me to frame up this blog.

One of my back pocket tools is avoiding what I call a ‘frame within a frame’ when architecting a solid sales and marketing presentation. So just what do I mean by a frame in this context? A frame is the construct and glue to manage the collection of points in your story. 

Here’s a representation of a frame within a frame:

 

Notice in the image, it’s hard to know where to look and what path to follow. When you know a lot about a subject, it’s challenging to cut away from intricacy and focus the story on its most essential points. You’re effectively creating a mind-maze when you pop customers in and out of various frames. As you move your story among technology trends, solution areas, benefit trees that nestle consideration paths, campaign themes, and ideation concepts, your customer gets lost. When they have no idea what to attach to, customers likely forget, lose track of, or dismiss your story altogether because it’s simply too complex to navigate.   

One key to a well-constructed frame is the rule of three, which many studies identify as the ideal number of points to make.  You’ll want to use no more than three points to frame up your solution or service to make a relevant customer connection, differentiate from alternatives, and organize the key messages and proof points that deliver on your claims. If it’s done right, your customer can absorb the three most important points they need to remember.

More reading about the magic of 3?  Check this out: Three Is the Right Number for Persuasion

What does this mean in practice?  


	Spend over half your development time thinking about what you want to say and how you are going to frame your story. Complex stories don’t sell complex solutions.  It’s translating the value of the solution to relevant customer needs that will sell every time.    
	Entering into the conversation in a meaningful way is critical. It’s important to let you go of what you want to say and zero in on what customers want to hear and what they care about.   
	Don’t drink the Kool-Aid! Make sure your frame works. Bring in your sales team, let them trial it. They’ll let you know if it resonates and moves their customer conversations forward.
","
  Sales & Channel
"
"Why Austin?","why-austin","October 30, 2014","","Richard Albrecht","


Recently, I was asked why Bridge Partners chose Austin as a keystone investment in our business strategy. The answer was simple. Building a presence in Austin represents a rare opportunity to contribute to one of the fastest growing economies in the nation and expand our business in a hub for technology, software, and manufacturing. 

There are strong parallels between the city of Austin and Bridge Partners. Like Bridge, Austin has experienced tremendous growth in recent years and continues to march to its own beat—grounded, creative, and just a little bit different from the rest of the pack. As business has boomed for both of us, Austin and Bridge have remained true to their roots. Just as the people of Austin take pride in a vibrant local culture, the people of Bridge Partners take pride in our uniquely personal approach to delivering results for our clients. 

Bridge Partners lands in Austin with an investment in tremendous local talent. Director, Robin Nirken Berson, is a local star with 20+ years of experience in sales, marketing, and management. Mary Rose Becker is an Austin resident and Texan with 20+ years of experience in marketing, sales, and operations with companies like Dell and Microsoft. Responsible for driving Bridge’s Austin business and strengthening our connection to the local community, Robin and Mary Rose look forward to carrying Bridge’s collaborative professional services model to Austin. 

At Bridge, we don’t have an army of cross-country robo-consultants. We hire local talent so that we can build relationships founded on trust, transparency, and collaboration. That’s why I’m so excited to grow in a city with a wealth of local talent. It means so much to us to be putting down roots in Austin, serving our Austin-based customers, and investing in the local economy. We at Bridge Partners are proud to be part of this dynamic city – a unique mix of the cosmopolitan and the home-spun at the leading edge of business.

Connect with Bridge Partners Austin ","
  News
"
"Let’s Get Personal: Building Better B2B Brands","lets-get-personal-building-better-b2b-brands","October 10, 2014","","Richard Albrecht","Everyone is familiar with the boatloads of money spent building consumer brands.  From Coke vs Pepsi to Nike vs Adidas, the battles between iconic brands are worth billions.  And when people think of branding, they immediately think of business to consumer (B2C) brands.  What most of us don’t realize is that branding can be even more effective and valuable with business to business (B2B) brands. 

B2B branding is not a new concept.  B2B marketers have been branding their products—even commodities—for decades now.  Some of us are old enough to remember the adage, “no one ever got fired for buying IBM.”  IBM’s customers themselves had unwittingly created one of the pillar themes of B2B brand loyalty, and sustained it for decades—a perfect example of old school branding aligned with today’s latest thinking.

Recently, things seem to have devolved a bit in the world of B2B marketing.  Most of the current B2B literature has, unfortunately, focused on ways to articulate functional differentiation. How to Brand Sand

B2C marketers, on the other hand, learned long ago that functional differentiation only takes you so far. Effective messaging taps into emotional needs and personal motivators. Consider these examples:  

If I were in the market for a new sports car, I could probably find a better buy than a Jaguar F-Type.  Still, this #GoodToBeBad commercial does an amazing job of making me forget what will be truly bad—the maintenance costs and hassles of buying an English-made sports car (apologies to the UK J). 



And even though I support showering, scientists have yet to link Dove body wash to higher levels of self-esteem.  That didn’t stop Evolution from taking the nation by storm. 



Despite the disconnect between these products’ functional attributes and their brand messages, these marketing campaigns have been successful.  Their brands appeal to personal emotional needs— status, adventure, and self-worth—in ways that transcend the nature of the products themselves.

B2B marketers often build brand messages around functional attributes, technical specifications, and business benefits. But new research by the CEB Marketing Research Council indicates that a B2B brand’s perceived personal benefits have twice the impact of its perceived business benefits.  Their research also finds that 68.8% of buyers who see personal value in a brand are willing to pay a higher price, while only 8.5% of buyers who do not see personal value are willing to pay a higher price.       

Why would managers in charge of purchasing decisions care more about personal value (professional advancement, social benefits, self-image, and emotional factors) than they would business value (performance, cost, and structure)?  Let’s go back a couple of decades to our IBM example. This apparent contradiction could be explained by the personal risk associated with purchase decisions.  A purchase decision can lead to a demotion or promotion, a slap on the wrist or a high five.  And when there are personal risks, even the most disciplined, numbers-driven manager will feel the weight of the decision.  This is why emotion cannot be ignored, and “no one ever got fired for buying IBM” was such a powerful paradigm.

But how do B2B marketers tap into these emotions to develop compelling, effective brand messages that create meaningful differentiation and, ultimately, lead to increased sales, loyalty, and brand equity?  The answers are found in commercial insights.  Real commercial insights begin with listening.  What is important to your customers?  What are their values?  What makes them smile and what makes them frown? They might not state explicitly their emotional needs and personal motivators, but if you read between the lines, you will find recurring themes amongst your customers.  

After developing that new level of empathy, it’s easy to point to the business challenges and pain points most closely related to your customers’ emotional needs and personal motivators.  If you’ve done this well, your messaging and functional attributes will work in harmony to drive results for your business.  

And if you’re lucky, like IBM, your customers will create their own brand adage for you.

Want a more in-depth look at how leading companies are leveraging commercial insights to their advantage? Read the whitepaper from CEB.  From Promotion to Emotion","
  Marketing & Digital
"
"The ‘Aha’ Moment and the Power of a Story","the-aha-moment-and-the-power-of-a-story","October 10, 2014","","Cindy Lavoie","Storytelling is as old as the human race, but a few years ago it suddenly became a buzzword in marketing circles, alongside the explosion of content marketing.  Consumer marketers were quick to jump on the bandwagon, and blogs like Content Marketing Institute, Hubspot, and MarketingProfs built large followings by advising marketers on how to create value, publish it through content, and build social buzz to promote brands and products.

But content marketers often lack the basic skill that all journalists are trained in: telling a story.  The narrative.  The progression from start to finish by someone we care about.  Most people need a narrative of some kind to make content come alive for them.

A tool I’ve found useful for turning dull content into engaging narrative is the Narrative Arc, which outlines the basic elements of a good story.

The Narrative Arc



Exposition: explains the landscape, gives context and background for the events about to happen

Complication/conflict: builds suspense with an issue or problem to be solved

Climax: describes the breakthrough – the ‘aha’ moment – when the path to a solution becomes clear

Resolution: the issue gets resolved

This simple formula provides the bare bones of most good stories – human interest news stories, movies, TV episodes, books, advertising, and yes, even good content marketing.  With marketing, there’s less time to spell out a full plot, so the narrative may need to be inferred.  Good advertising does this well.

Some good examples

The ad:    Apple’s iconic 1984 Super Bowl ad
The aha:  You don’t need to be a corporate lemming. You can express yourself creatively – with a Mac

The ad:    Google's ad for search: We’re All Storytellers
The aha:  Whatever my passion, I can learn all that I need – from Google search

The ad:    Guinness friendship advertisement
The aha:  True friendship is a warm feeling that comes from loyalty – and drinking beer together

You probably recognize the typical marketing narrative:  Customer, the main character, faces a problem because something is missing from his or her life.  Product provides the solution and thus solves the problem.  But where is the climax?  Where is the exciting breakthrough that makes a reader see the light?  That ‘aha’ moment is where the audience moves from identifying to empathizing with the main character.  It’s where the emotional connection happens.  And that’s what gets an audience hooked.

In tech marketing, it can be especially challenging to provide that climax.  After all, technology is so amazing, it provides its own exciting breakthrough, right?  Or, it takes such effort just to describe what the solution does and how it solves the customer’s problem, there’s no room left to create a climax. 

Here’s what I’ve seen many times in tech marketing:

No climax = No ""aha""



Or worse, no story



No wonder it falls flat on audience ears.  There’s no room for the audience to empathize with the challenge, to experience the climax, to internalize the impact of the breakthrough.  A product, no matter how amazing, won’t do that.  Neither will a listing of the product’s features and benefits.

Here are some examples of tech companies that tell an interesting story in their content marketing:

GE’s Ecomagination campaign:  through advertising, a website, and a magazine with an experienced managing editor, GE communicates the ‘aha’ that it is bringing innovative ideas to improve the health of our planet.  No product mentions needed.

Google’s Zero Moment of Truth campaign: Google has leveraged its research about how people buy online, at the ‘zero moment of truth’, by launching a widespread content marketing campaign that tells the story of today’s buyers and what that means for today’s marketers.  Demonstrated research value.

Adobe’s digital marketing insights:  Adobe launched CMO.com which delivers, in its words, “marketing insights, expertise, and inspiration for and by marketing leaders – all aimed at helping CMOs and senior marketers lead their brands in this new digital age.”  Story told, and keeps on telling.

Peer-to-peer credibility:

Microsoft’s Channel 9:  Developers speak to developers about what is new and cool on this edgy tech news channel. 

Other examples of effective content marketing campaigns – what story do they tell?  You be the judge:

http://www.getspokal.com/top-11-most-powerful-content-marketing-examples-by-small-businesses/","
  Marketing & Digital
"
"Vertical Sales Initiative","vertical-sales-initiative","August 27, 2014","Bridge Partners helped a leading IT architecture solution provider build the sales and marketing plan they needed to win in a new vertical market.","","The Challenge

Rallying a sales team and giving it the right tools to go after a new market is no small task. When our client, an IT architecture solution provider, decided to formalize a go-to-market framework for the healthcare industry, the company needed more than campaign consulting. Our client needed a partner who could get its team smart and do it fast.

The Relationship

With early wins in the healthcare marketplace and customizable solutions for this dynamic and growing industry, our client was poised for success. But to expand its reach, the global IT leader needed a repeatable sales and marketing framework that would help its sales team speak consistently and effectively to this vertical.

Bridge Partners sales and marketing experts were the right team to tackle the problem. We brought our deep software sales and healthcare experience, along with highly collaborative and skilled marketing strategists who knew their way around an integrated go-to-market campaign.

After defining goals and success metrics, Bridge Partners applied a blend of discipline expertise, industry experience, and program management agility to drive the initiative forward. The result was a fully integrated healthcare sales and marketing plan with ready-to-launch collateral. The new messaging matched our client’s solutions with the most pressing business and IT concerns of healthcare customers to drive sales.

The Results

Our client is now armed with the knowledge it needs to position specific, relevant, and compelling solutions to the healthcare industry. Just as importantly, they now own a replicable vertical marketing framework that can be applied to any industry it chooses to tackle in the future.","
  Sales & Channel
"
"Healthcare Change Management","healthcare-change-management","August 27, 2014","Bridge Partners helped a leading hospital system find a healthier approach to caregiver training and electronic health records.","","The Challenge

More than expensive IT investments were on the line when the nation’s fourth-largest healthcare system came to Bridge Partners. With dozens of hospitals and hundreds of clinics in a five-state region, the company strives to offer better quality of care by optimizing and enhancing the use of technology in the clinical environment. Our client had a critical need to train the staff of one of its hospitals on a new electronic health record (EHR) system without disrupting patient care.

 

The Relationship

After an intensive 18-month development process, the hospital’s transition from paper-based records to EHR was only weeks away from its go-live date. But with all of provider’s resources dedicated to completing the system build, shifting the team’s focus to the staff training would have been a major disruption. In addition, nurses and medical staff would have to participate in the training while continuing their daily caregiving and administrative duties.

Educating more than 1,000 students in less than six weeks meant that Bridge Partners needed to be agile, organizationally adept, and laser-focused on results. Bringing the right mix of technological savvy and experience in instructional design and training, Bridge Partners designed a change management plan and developed a full training syllabus. Live classroom training delivered by Bridge Partners instructors helped streamline the transition.

 

The Results

Bridge Partners used industry insight and EHR expertise to understand precisely how the system would function as part of the hospital’s everyday work environment. We created and delivered a relevant, concise curriculum to over 1,000 students in record time. Bridge Partners minimized training impact and focused on critical elements, making the best possible use of every training minute. The hospital’s staff quickly and effectively embraced the new software without having to sacrifice time for patient care.

The clinical results speak for themselves. As one nurse said, “This is the smoothest transition to a new technology that I’ve ever experienced. I knew what was coming and was able to make the change with minimum impact to my patients and my work.”","
  Operations & Technology
"
"Bridge Partners lands on the Inc. 5000 list for the third straight year","bridge-partners-lands-on-the-inc.-5000-list-for-the-third-straight-year","August 20, 2014","","","Inc. Magazine has named Bridge Partners to the Inc. 5000 for the third straight year. The list, now in its 33rd year, ranks the fastest-growing privately held companies in America. Richard Albrecht, Bridge Partners CEO and Managing Partner, said of the award, “This is a reflection of the hard work that the people of Bridge put in on behalf of our clients, and we’re all very proud.”

http://bit.ly/1qqj5pe","
  News
"
"Bridge Partners is named a “Best Company to Work For” by Seattle Business Magazine","bridge-partners-is-named-a-best-company-to-work-for-by-seattle-business-mag","July 22, 2014","","","Seattle Business Magazine has once again recognized Bridge Partners as one of the “100 Best Companies to Work For.” Bridge Partners was ranked 11th in the “Large Company” classification. The rankings are determined by confidential employee survey responses. Everyone at Bridge Partners takes pride in creating an authentic culture and an open, collaborative working environment. We are honored to appear on this list for the second straight year.

http://bit.ly/1kb1EME","
  News
"
"Welcome to Bridge Insights","welcome-to-bridge-insights","July 01, 2014","","Richard Albrecht","It seems like every time I read the news, I learn about another CEO who is taking credit for revolutionizing an industry, disrupting entire markets, or reshaping global culture—all from the comfort of a private island. We’ve got a different approach at Bridge Partners. We’re interested in rolling up our sleeves and doing great work that drives results, period. And it seems to be working: Bridge has landed on the Inc. 5000 three years in a row and is consistently named a “Best Place to Work.”

I certainly can’t take credit for all the exciting things that have happened at Bridge Partners over the last few years, because the kudos really go to our team of consultants. They bring years of experience and independent thinking to every project they tackle. That’s why our clients keeping coming back.

Our new blog, Bridge Insights, will feature fresh content from our team of consultants and give you a taste of how we think about business transformation. I think you’ll find the blog thought provoking and easy to digest. It might even spark a conversation in your own business.

I invite you to join the discussion and sign up to receive our latest news and insights.

Thanks for visiting.

Richard Albrecht
CEO and Managing Partner","
  News
"
